RANK,PITCHER,IP,PPERA,PPK_pct,PPSTUFF_plus,PPLOCATION_plus,PPPITCHING_plus,INJURY_pct,NFBC_adp,league,team,spring_stuff
102,Taijuan Walker,149,4.29,0.22,105,101,102,95.7,298,NL,PHI,93.1
103,Ken Waldichuk,135,3.73,0.253,101,99,100,38.8,440,AL,OAK,#N/A
104,Drew Rucinski,147,4.08,,,,,,,AL,OAK,104.1
105,Shintaro Fujinami,135,4.36,#N/A,#N/A,#N/A,#N/A,#N/A,572,AL,OAK,94.3
106,Noah Syndergaard,157,4.78,0.185,88,104,101,96.4,310,NL,LAD,#N/A
107,MacKenzie Gore,118,4.45,0.216,100,98,98,67.4,400,NL,WSN,92.5
108,Tyler Wells,111,3.7,0.227,106,104,108,78.4,595,AL,BAL,101.1
109,Luis Ortiz,81,4.05,0.214,115,97,102,63.6,475,NL,PIT,128.4
110,Bailey Ober,111,4.15,0.227,91,104,101,31.4,319,AL,MIN,93.9
111,David Peterson,88,4,0.238,92,96,94,50.5,475,NL,NYM,93
112,Tylor Megill,94,3.67,0.256,104,101,102,73.4,473,NL,NYM,91.6
113,Aaron Ashby,93,3.6,0.268,102,98,100,75.2,252,NL,MIL,#N/A
114,DL Hall,64,3.33,0.293,112,101,105,#N/A,543,AL,BAL,108.1
115,Tarik Skubal,69,3.76,0.238,91,102,101,48.7,484,AL,DET,#N/A
116,Tanner Houck,80,3.72,0.257,106,97,100,#N/A,442,AL,BOS,#N/A
117,Mike Soroka,101,3.83,0.213,0,0,0,#N/A,378,NL,ATL,#N/A
118,Matthew Boyd,148,3.92,0.216,94,101,98,#N/A,524,AL,DET,90.9
119,Paul Blackburn,156,3.99,0.178,88,101,97,83,631,AL,OAK,80.6
120,Kyle Gibson,182,3.97,0.194,94,101,98,4.5,496,AL,BAL,#N/A
121,JT Brubaker,159,4.08,0.216,91,101,98,47.3,564,NL,PIT,95.5
122,Brayan Bello,113,4.12,0.228,96,99,98,56.8,338,AL,BOS,97.3
123,Eric Lauer,154,4.35,0.231,94,100,97,45.9,277,NL,MIL,#N/A
124,Luis Patino,85,4.13,0.226,102,101,105,42.4,680,AL,TBR,108.4
125,Braxton Garrett,107,4.31,0.209,94,100,97,25.4,402,NL,MIA,92.5
126,Michael Lorenzen,140,4.1,0.199,95,100,98,93.2,526,AL,DET,99.2
127,Yusei Kikuchi,115,4.15,0.255,107,97,99,25.7,618,AL,TOR,97.9
128,Cole Irvin,181,4.68,0.156,76,104,97,0,475,AL,OAK,#N/A
129,Simeon Woods-Richardson,75,4.24,0.209,93,101,97,,,AL,MIN,#N/A
130,Martin Perez,171,4.25,0.19,83,102,96,85.1,323,AL,TEX,#N/A
131,Brad Keller,101,4.29,0.19,98,98,98,20.8,744,AL,KCR,102.2
132,Matt Manning,124,4.13,0.187,96,101,98,59.3,493,AL,DET,93.2
133,Cal Quantrill,169,4.49,0.186,90,100,96,3.5,341,AL,CLE,89.8
