"","player_name","fangraphs_id","Team","ShortName","W","L","GS","G","SV","HLD","BS","IP","TBF","H","R","ER","HR","SO","BB","IBB","HBP","ERA","WHIP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","GB%","AVG","BABIP","LOB%","FIP","WAR","RA9-WAR","InterSD","InterSK","IntraSD","QS","ADP","teamid","League","playerids","."
"259","Alex Vesia","25007","LAD","Dodgers",5,3,0,60,0,11,NA,60,251,48,28,26,9,77,24,NA,3,3.85502,1.20264,11.5651,3.55848,3.25,1.33443,0.307087,0.0944882,0.21259842813015,NA,0.215859,0.285714,0.745033,3.94697,0.444855,0.29612,NA,NA,NA,NA,740.739990234375,22,"NL","25007",""
"260","Carlos Carrasco","6632","CLE","Guardians",5,8,15,43,0,1,NA,95,433,108,59,54,15,84,36,NA,5,5.09639,1.50602,7.91566,3.36145,2.35484,1.40964,0.193634,0.0822281,0.111405842006207,NA,0.274854,0.316406,0.692884,4.79721,0.444785,0.0540895,NA,NA,NA,NA,722.789978027344,5,"AL","6632",""
"261","Orion Kerkering","31776","PHI","Phillies",4,2,0,63,4,9,NA,63,262,58,29,27,9,69,16,NA,2,3.89948,1.17851,9.82669,2.33969,4.2,1.24783,0.2625,0.0625,0.200000017881393,NA,0.237668,0.296053,0.721831,3.75764,0.43664,0.400914,NA,NA,NA,NA,398.140014648438,26,"NL","31776",""
"262","Sawyer Gipson-Long","26048","DET","Tigers",4,6,6,40,0,1,NA,67,286,66,35,32,9,62,21,NA,3,4.31448,1.29434,8.2838,2.76127,3,1.20805,0.214765,0.0715884,0.143176734447479,NA,0.250608,0.295681,0.701906,4.19464,0.43354,0.419114,NA,NA,NA,NA,500.929992675781,6,"AL","26048",""
"263","Steven Wilson","20353","CHW","White Sox",2,2,0,63,6,12,NA,63,263,51,31,29,9,70,30,NA,4,4.08284,1.28205,9.94083,4.26035,2.33333,1.2426,0.264151,0.113208,0.150943398475647,NA,0.221622,0.278689,0.724638,4.43847,0.429334,0.418944,NA,NA,NA,NA,713.559997558594,4,"AL","20353",""
"264","Emerson Hancock","27470","SEA","Mariners",5,6,13,32,0,1,NA,78,336,77,42,38,10,60,29,NA,4,4.43861,1.35362,6.89402,3.30535,2.08571,1.13326,0.177184,0.0849515,0.0922330096364021,NA,0.252688,0.285714,0.695187,4.61915,0.428232,0.535428,NA,NA,NA,NA,624.809997558594,11,"AL","27470",""
"265","Germán Márquez","15038","COL","Rockies",1,2,5,5,0,0,NA,28,117,27,16,15,4,24,9,NA,1,4.75422,1.32795,7.72561,3.03742,2.54348,1.18855,0.201724,0.0793103,0.122413799166679,NA,0.254237,0.295455,0.661104,4.33354,0.427553,0.437045,NA,NA,NA,NA,749.059997558594,19,"NL","15038",""
"266","Mitch Spence","sa1169885","OAK","Athletics",3,4,6,46,0,1,NA,75,326,77,38,35,8,58,24,NA,4,4.17833,1.35593,6.96389,2.9182,2.38636,0.994842,0.177966,0.0745763,0.103389829397202,NA,0.25974,0.298329,0.711656,4.27199,0.425174,0.465806,NA,NA,NA,NA,738.099975585938,10,"AL","sa1169885",""
"267","Ben Brown","sa3005122","CHC","Cubs",4,4,6,38,0,1,NA,61,266,56,31,29,8,62,26,NA,3,4.23198,1.34796,9.02821,3.8558,2.34146,1.12853,0.231884,0.0990338,0.132850244641304,NA,0.238482,0.291188,0.713013,4.28952,0.424816,0.405343,NA,NA,NA,NA,999,17,"NL","sa3005122",""
"268","Joan Adon","22925","WSN","Nationals",3,4,8,30,0,1,NA,62,276,63,37,34,8,51,26,NA,4,4.9916,1.44538,7.48739,3.78151,1.98,1.13445,0.186441,0.094162,0.0922787189483643,NA,0.257384,0.297222,0.668874,4.66681,0.424631,0.192777,NA,NA,NA,NA,999,24,"NL","22925",""
"269","Nick Anderson","18337","KCR","Royals",3,5,0,60,1,11,NA,60,253,60,29,27,8,57,16,NA,2,4.05836,1.27321,8.59416,2.38727,3.6,1.19363,0.226415,0.0628931,0.163522019982338,NA,0.256757,0.308411,0.731707,3.9447,0.42266,0.364407,NA,NA,NA,NA,616.72998046875,7,"AL","18337",""
"270","Joel Payamps","14332","MIL","Brewers",5,5,0,67,4,14,NA,67,286,62,32,30,9,66,25,NA,3,4.01538,1.29231,8.86154,3.32308,2.66667,1.24615,0.231047,0.0866426,0.144404329359531,NA,0.24,0.288136,0.742297,4.33196,0.417824,0.612954,NA,NA,NA,NA,398.489990234375,23,"NL","14332",""
"271","Yimi García","12095","TOR","Blue Jays",5,3,0,66,2,15,NA,66,280,61,32,30,9,69,22,NA,5,4.08377,1.25654,9.42408,2.98429,3.15789,1.25654,0.246914,0.0781893,0.16872426867485,NA,0.240909,0.296053,0.723684,4.18,0.416789,0.404269,NA,NA,NA,NA,637.119995117188,14,"AL","12095",""
"272","Noah Syndergaard","11762",NA,NA,2,3,10,10,0,0,NA,49,213,53,29,27,8,35,12,NA,4,4.94506,1.32967,6.42857,2.17582,2.95455,1.38462,0.164975,0.0558376,0.109137050807476,NA,0.271233,0.297203,0.660749,4.78251,0.414575,0.281431,NA,NA,NA,NA,750.070007324219,-1,NA,"11762",""
"273","Drew Rasmussen","25385","TBR","Rays",3,2,3,31,0,1,NA,44,180,38,18,16,4,43,12,NA,1,3.27453,1.13561,8.63286,2.48071,3.48,0.793826,0.235772,0.0677507,0.168021678924561,NA,0.22807,0.283401,0.729847,3.37632,0.412736,0.506259,NA,NA,NA,NA,696.22998046875,12,"AL","25385",""
