"","player_name","fangraphs_id","Team","ShortName","W","L","GS","G","SV","HLD","BS","IP","TBF","H","R","ER","HR","SO","BB","IBB","HBP","ERA","WHIP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","GB%","AVG","BABIP","LOB%","FIP","WAR","RA9-WAR","InterSD","InterSK","IntraSD","QS","ADP","teamid","League","playerids","."
"433","Mick Abel","sa3014534","PHI","Phillies",2,3,5,24,0,1,NA,44,197,43,27,25,7,40,23,NA,3,5.17422,1.50996,8.11572,4.71896,1.71981,1.43219,0.200995,0.11687,0.0841244831681252,NA,0.252941,0.291451,0.694272,5.28943,0.0985103,0.10319,NA,NA,NA,NA,999,26,"NL","sa3014534",""
"434","Christian Scott","sa3017948","NYM","Mets",0,0,2,2,0,0,NA,8,34,8,4,4,1,7,2,NA,0,4.32876,1.26409,8.12543,2.57547,3.15493,1.2728,0.2113,0.0669746,0.144325487315655,NA,0.249117,0.290319,0.699735,4.32929,0.098185,0.0966622,NA,NA,NA,NA,999,25,"NL","sa3017948",""
"435","Hunter Stratton","23455","PIT","Pirates",3,4,0,60,0,11,NA,60,265,55,32,29,8,61,30,NA,4,4.42394,1.42067,9.21555,4.48938,2.05275,1.18408,0.23212,0.113078,0.119042448699474,NA,0.239222,0.292912,0.723533,4.5907,0.0967476,0.1093,NA,NA,NA,NA,999,27,"NL","23455",""
"436","Jacob Webb","19274","BAL","Orioles",3,3,0,58,0,10,NA,58,250,53,30,28,8,60,24,NA,3,4.31961,1.32685,9.27842,3.68171,2.52014,1.22358,0.239501,0.0950347,0.144465833902359,NA,0.238571,0.291716,0.71535,4.33326,0.0935815,0.0217713,NA,NA,NA,NA,999,2,"AL","19274",""
"437","Hurston Waldrep","sa3022942","ATL","Braves",1,1,2,16,0,1,NA,22,95,21,11,11,3,22,10,NA,1,4.35158,1.41981,9.23606,4.26988,2.16307,1.18234,0.235274,0.108769,0.126505814492702,NA,0.245568,0.302362,0.723671,4.44664,0.0935753,0.139748,NA,NA,NA,NA,999,16,"NL","sa3022942",""
"438","Nick Nelson","20153","PHI","Phillies",1,2,2,25,0,1,NA,31,139,33,18,17,4,24,13,NA,2,4.94898,1.47905,6.96813,3.89037,1.79112,1.1964,0.173813,0.0970411,0.0767715275287628,NA,0.264147,0.299062,0.685642,4.90934,0.0933766,-0.0151327,NA,NA,NA,NA,999,26,"NL","20153",""
"439","Cade Povich","sa3017787","BAL","Orioles",1,1,2,14,0,1,NA,20,88,19,10,9,3,20,8,NA,1,4.19387,1.33442,9.00544,3.70931,2.42779,1.18925,0.232044,0.0955783,0.13646599650383,NA,0.239124,0.29005,0.721101,4.33743,0.0933624,0.105047,NA,NA,NA,NA,999,2,"AL","sa3017787",""
"440","Génesis Cabrera","17490","TOR","Blue Jays",3,3,0,63,1,12,NA,63,272,57,31,29,8,63,28,NA,4,4.12946,1.34512,9.04114,3.95366,2.28678,1.18308,0.232587,0.10171,0.130877561867237,NA,0.237062,0.288403,0.734156,4.44894,0.0928639,0.182356,NA,NA,NA,NA,999,14,"AL","17490",""
"441","Tommy Kahnle","11384","NYY","Yankees",2,2,0,50,0,4,NA,50,211,42,24,22,7,57,21,NA,2,3.98813,1.26067,10.3001,3.72379,2.76603,1.28348,0.271536,0.0981683,0.173368223011494,NA,0.225531,0.28536,0.73171,4.19869,0.0913658,0.0947324,NA,NA,NA,NA,727.469970703125,9,"AL","11384",""
"442","Taylor Clarke","17611","MIL","Brewers",3,4,0,57,0,5,NA,57,245,55,29,28,9,59,20,NA,2,4.3424,1.30254,9.33927,3.10992,3.00305,1.4735,0.241491,0.080415,0.161075748503208,NA,0.244484,0.292406,0.732531,4.45621,0.0911262,0.0957172,NA,NA,NA,NA,750.940002441406,23,"NL","17611",""
